-2 , -233
-2 , -261
-2 , -282
-2 , -301
-2 , -320
-3 , -334
-3 , -336
-4 , -339
-6 , -341
-5 , -343
-4 , -342
-3 , -342
-3 , -342
-2 , -341
-1 , -339
0 , -326
0 , -301
1 , -276
1 , -245
1 , -205
1 , -173
5 , -138
4 , -115
4 , -96
4 , -67
3 , -39
4 , -10
4 , 26
4 , 59
5 , 100
4 , 129
4 , 150
4 , 173
9 , 200
8 , 226
8 , 252
8 , 273
9 , 292
13 , 316
10 , 332
11 , 340
11 , 343
12 , 347
14 , 346
11 , 347
11 , 348
11 , 347
11 , 348
11 , 347
10 , 347
10 , 341
8 , 317
8 , 292
8 , 262
8 , 228
7 , 194
6 , 161
4 , 134
3 , 112
4 , 90
3 , 57
3 , 23
3 , -8
3 , -44
3 , -86
3 , -123
2 , -149
2 , -174
-1 , -201
-2 , -234
-2 , -263
-2 , -285
-1 , -305
-3 , -325
-4 , -335
-3 , -339
-6 , -341
-6 , -341
-4 , -342
-4 , -342
-3 , -343
-2 , -342
-1 , -340
-1 , -326
1 , -299
0 , -274
0 , -238
1 , -199
0 , -162
4 , -129
3 , -108
4 , -85
4 , -52
4 , -22
4 , 18
4 , 54
4 , 100
4 , 131
3 , 155
4 , 183
8 , 213
9 , 242
9 , 269
8 , 289
8 , 313
9 , 332
10 , 341
10 , 343
11 , 346
12 , 345
9 , 346
9 , 344
9 , 345
9 , 344
8 , 344
8 , 331
6 , 302
6 , 274
6 , 234
6 , 200
6 , 161
2 , 131
3 , 108
2 , 81
2 , 48
2 , 15
2 , -16
2 , -47
2 , -87
2 , -123
2 , -147
2 , -172
-2 , -196
-3 , -228
-3 , -257
-2 , -278
-3 , -299
-2 , -319
-3 , -333
-4 , -338
-4 , -341
-7 , -341
-5 , -342
-4 , -342
-3 , -342
-4 , -341
-3 , -342
-2 , -340
-1 , -325
-1 , -301
-1 , -276
0 , -244
0 , -204
0 , -170
4 , -136
3 , -113
4 , -94
4 , -64
3 , -35
3 , -1
4 , 39
4 , 81
3 , 121
3 , 145
4 , 172
8 , 201
7 , 231
9 , 259
8 , 280
8 , 304
8 , 325
10 , 339
10 , 341
10 , 344
12 , 346
9 , 345
10 , 345
9 , 344
8 , 344
8 , 344
8 , 339
6 , 311
6 , 284
5 , 249
6 , 211
5 , 173
2 , 139
-1 , 115
2 , 90
2 , 54
1 , 24
2 , -9
