28 , 341
26 , 334
24 , 305
22 , 278
20 , 242
17 , 210
15 , 175
12 , 143
10 , 119
9 , 98
6 , 69
4 , 37
1 , 5
-1 , -23
-3 , -55
-7 , -96
-10 , -128
-12 , -153
-14 , -178
-16 , -201
-19 , -232
-20 , -262
-23 , -281
-23 , -301
-25 , -321
-26 , -335
-26 , -338
-26 , -341
-29 , -343
-28 , -343
-27 , -344
-25 , -343
-25 , -342
-25 , -343
-24 , -339
-23 , -326
-22 , -303
-20 , -280
-18 , -253
-15 , -216
-13 , -184
-10 , -152
-8 , -125
-5 , -107
-5 , -87
-3 , -62
-1 , -34
2 , -4
5 , 33
8 , 68
11 , 108
13 , 132
15 , 154
17 , 179
19 , 204
21 , 233
23 , 258
25 , 278
27 , 296
27 , 316
28 , 332
29 , 337
29 , 340
30 , 342
32 , 344
28 , 341
29 , 341
27 , 343
28 , 342
27 , 343
26 , 341
26 , 329
24 , 300
22 , 274
20 , 241
17 , 212
14 , 179
12 , 147
9 , 120
8 , 101
4 , 76
4 , 47
2 , 18
-1 , -13
-2 , -39
-6 , -75
-9 , -111
-11 , -138
-13 , -160
-15 , -185
-17 , -208
-19 , -240
-21 , -265
-23 , -281
-24 , -302
-25 , -320
-26 , -335
-26 , -339
-26 , -341
-28 , -342
-28 , -343
-28 , -343
-27 , -344
-26 , -342
-25 , -344
-24 , -341
-24 , -331
-22 , -311
-20 , -289
-19 , -264
-16 , -228
-13 , -195
-11 , -165
-8 , -133
-7 , -113
-6 , -93
-4 , -72
-2 , -46
1 , -17
3 , 18
6 , 52
9 , 94
12 , 123
14 , 144
16 , 167
18 , 194
21 , 219
22 , 247
24 , 269
25 , 286
28 , 308
28 , 326
28 , 336
29 , 339
29 , 343
31 , 342
30 , 343
28 , 342
28 , 342
28 , 343
27 , 342
27 , 340
25 , 316
23 , 288
20 , 253
16 , 218
14 , 181
12 , 144
9 , 119
8 , 96
6 , 64
3 , 33
0 , -3
-3 , -33
-5 , -73
-9 , -112
-11 , -141
-14 , -166
-16 , -193
-18 , -225
-21 , -257
-23 , -278
-24 , -300
-25 , -321
-26 , -336
-27 , -339
-27 , -341
-28 , -343
-27 , -343
-27 , -344
-25 , -344
-26 , -344
-25 , -341
-24 , -330
-22 , -306
-20 , -281
-18 , -248
-15 , -209
-12 , -174
-9 , -138
-7 , -114
-5 , -93
-4 , -66
0 , -35
3 , 0
6 , 39
10 , 84
13 , 121
15 , 144
17 , 172
20 , 200
22 , 231
24 , 259
26 , 281
28 , 304
28 , 324
31 , 337
30 , 341
30 , 343
31 , 344
29 , 343
30 , 343
27 , 343
28 , 343
27 , 342
27 , 337
25 , 311
23 , 287
20 , 252
17 , 218
15 , 183
12 , 150
10 , 124
8 , 101
6 , 75
4 , 43
1 , 13
-1 , -19
-4 , -49
-7 , -91
-10 , -125
-13 , -150
-14 , -175
-15 , -201
-19 , -230
-21 , -260
-23 , -280
-24 , -301
-26 , -321
-26 , -335
-27 , -339
-27 , -343
-29 , -343
-28 , -343
